loan_amnt,term,int_rate,installment,grade,emp_length,home_ownership,annual_inc,verification_status,purpose,dti,delinq_2yrs,fico_range_low,revol_util,loan_status
14000,36 months,10.64,455.96,B,5 years,OWN,159200,Verified,debt_consolidation,22.94,1,718,66.6,Charged Off
13600,60 months,11.84,301.43,B,10+ years,MORTGAGE,51400,Source Verified,other,20.07,0,691,78.1,Charged Off
5400,60 months,15.47,129.8,D,10+ years,OWN,64300,Not Verified,home_improvement,15.43,0,695,60.2,Charged Off
9200,36 months,15.65,321.86,D,10+ years,MORTGAGE,29200,Verified,debt_consolidation,14.4,0,677,47.2,Fully Paid
14100,60 months,6.42,275.35,A,1 year,MORTGAGE,96900,Source Verified,credit_card,16.54,1,755,48.8,Charged Off
14500,36 months,10.58,471.83,B,10+ years,RENT,207100,Verified,small_business,19.83,1,711,72.8,Charged Off
8400,36 months,14.3,288.32,C,9 years,RENT,40300,Not Verified,medical,18.69,0,712,61.3,Fully Paid
22700,60 months,16.4,556.86,D,7 years,MORTGAGE,51600,Not Verified,debt_consolidation,27.38,0,665,13.1,Charged Off
15900,36 months,22.21,608.96,E,10+ years,MORTGAGE,84700,Verified,debt_consolidation,7.64,1,684,79.3,Charged Off
8900,60 months,15.2,212.67,C,,RENT,47100,Source Verified,major_purchase,28.11,1,699,49.9,Charged Off
4100,36 months,18.11,148.45,D,10+ years,MORTGAGE,20700,Verified,debt_consolidation,27.22,1,676,31.4,Charged Off
9600,36 months,6.58,294.58,A,,MORTGAGE,55400,Source Verified,debt_consolidation,40.06,0,745,40.4,Fully Paid
10200,36 months,6.33,311.83,A,5 years,RENT,26100,Source Verified,debt_consolidation,7.25,0,724,91.9,Charged Off
19600,36 months,10.93,641.03,B,3 years,MORTGAGE,38000,Source Verified,debt_consolidation,23.23,1,724,17.6,Fully Paid
14400,36 months,19.97,534.94,E,5 years,MORTGAGE,105500,Not Verified,debt_consolidation,10.57,0,663,49.7,Fully Paid
18600,60 months,11.07,405.06,B,1 year,RENT,84400,Verified,debt_consolidation,25.8,0,703,72.2,Fully Paid
16500,36 months,11.6,544.89,B,7 years,MORTGAGE,59800,Source Verified,debt_consolidation,34.79,0,728,25.3,Charged Off
5200,36 months,17.56,186.85,D,10+ years,MORTGAGE,82700,Not Verified,credit_card,33.63,0,686,43.4,Charged Off
13200,36 months,15.33,459.72,C,2 years,MORTGAGE,86100,Not Verified,credit_card,24.57,1,723,36.7,Fully Paid
12900,60 months,15.76,312.06,D,10+ years,MORTGAGE,32300,Source Verified,medical,20.15,0,673,28.0,Charged Off
11800,60 months,10.42,253.16,B,1 year,MORTGAGE,79000,Verified,debt_consolidation,14.83,0,716,45.4,Fully Paid
7000,36 months,16.08,246.38,D,5 years,RENT,152200,Not Verified,debt_consolidation,15.67,1,693,57.3,Fully Paid
30700,36 months,14.14,1051.34,D,2 years,RENT,108000,Not Verified,debt_consolidation,20.94,1,691,24.4,Fully Paid
16500,36 months,19.8,611.52,D,4 years,RENT,52400,Source Verified,debt_consolidation,23.55,0,684,55.1,Fully Paid
5600,60 months,9.63,117.97,B,8 years,MORTGAGE,91500,Verified,debt_consolidation,19.71,1,703,57.4,Fully Paid
17800,36 months,12.64,596.67,C,< 1 year,MORTGAGE,85300,Verified,credit_card,13.58,0,708,75.5,Fully Paid
7600,36 months,12.93,255.82,C,10+ years,RENT,32600,Verified,car,45.2,1,707,81.6,Fully Paid
14300,36 months,12.6,479.07,C,6 years,OWN,63200,Not Verified,major_purchase,24.28,1,676,55.0,Fully Paid
25800,60 months,17.23,644.39,D,2 years,MORTGAGE,215200,Not Verified,debt_consolidation,34.72,0,677,40.4,Charged Off
9800,36 months,5.0,293.71,A,10+ years,OWN,110300,Not Verified,home_improvement,32.18,1,758,52.0,Charged Off
40000,36 months,12.55,1339.1,B,10+ years,RENT,82800,Not Verified,debt_consolidation,17.04,0,723,49.0,Charged Off
7400,36 months,15.58,258.63,C,9 years,RENT,170900,Source Verified,debt_consolidation,28.41,0,713,48.8,Charged Off
12600,36 months,16.85,448.28,D,8 years,OWN,46300,Verified,debt_consolidation,13.64,0,662,44.8,Fully Paid
12400,36 months,12.47,414.65,B,5 years,RENT,92600,Source Verified,debt_consolidation,27.44,0,716,85.0,Charged Off
28500,60 months,13.8,660.19,C,4 years,RENT,53500,Not Verified,credit_card,18.6,0,697,59.0,Fully Paid
25200,36 months,12.37,841.46,C,4 years,MORTGAGE,85400,Not Verified,debt_consolidation,6.72,1,674,47.7,Charged Off
18400,60 months,8.89,380.97,A,9 years,RENT,57600,Source Verified,other,5.02,1,742,35.0,Fully Paid
3700,36 months,14.45,127.27,C,10+ years,RENT,42600,Source Verified,debt_consolidation,21.25,0,697,43.6,Fully Paid
7300,36 months,10.44,237.06,B,6 years,MORTGAGE,82400,Not Verified,debt_consolidation,7.69,1,705,62.7,Fully Paid
9700,36 months,12.35,323.8,C,10+ years,MORTGAGE,99700,Source Verified,debt_consolidation,22.95,0,699,21.9,Fully Paid
4800,36 months,18.05,173.65,E,< 1 year,RENT,60300,Not Verified,debt_consolidation,12.5,0,672,86.6,Charged Off
7200,36 months,12.66,241.42,D,5 years,MORTGAGE,83700,Verified,debt_consolidation,23.5,0,693,83.4,Charged Off
8600,60 months,18.18,219.23,D,10+ years,OWN,99500,Source Verified,credit_card,24.14,0,687,19.5,Fully Paid
21400,36 months,12.98,720.84,C,2 years,OWN,43400,Source Verified,credit_card,18.63,0,703,25.5,Fully Paid
7900,36 months,13.87,269.5,C,10+ years,MORTGAGE,55700,Source Verified,credit_card,19.58,1,709,36.2,Charged Off
13000,36 months,12.54,435.15,C,2 years,RENT,76400,Source Verified,debt_consolidation,11.88,0,700,52.5,Charged Off
8900,36 months,16.28,314.13,C,9 years,MORTGAGE,37000,Source Verified,other,19.7,0,698,41.7,Charged Off
12200,36 months,18.83,446.16,E,6 years,MORTGAGE,59700,Source Verified,debt_consolidation,26.98,0,655,79.0,Charged Off
17700,36 months,14.0,604.94,C,10+ years,MORTGAGE,44200,Verified,credit_card,6.36,0,698,71.8,Charged Off
5100,36 months,11.41,167.96,B,8 years,MORTGAGE,53000,Source Verified,debt_consolidation,19.28,0,714,73.0,Charged Off
6200,60 months,10.69,133.85,C,2 years,MORTGAGE,44900,Not Verified,debt_consolidation,26.01,0,704,38.9,Charged Off
32500,36 months,15.17,1129.33,D,10+ years,RENT,98600,Source Verified,credit_card,20.5,0,673,50.3,Charged Off
12000,60 months,15.63,289.46,C,7 years,OTHER,34600,Verified,debt_consolidation,7.68,0,706,38.3,Fully Paid
11400,36 months,21.65,433.31,E,3 years,RENT,66000,Not Verified,debt_consolidation,27.2,0,682,65.2,Charged Off
23500,36 months,14.32,806.83,C,10+ years,MORTGAGE,78400,Source Verified,debt_consolidation,15.37,0,704,29.5,Fully Paid
20800,36 months,15.62,727.37,D,9 years,MORTGAGE,49800,Source Verified,debt_consolidation,36.83,0,671,76.8,Charged Off
13200,60 months,22.11,365.4,E,6 years,MORTGAGE,144300,Source Verified,small_business,11.69,0,675,79.7,Charged Off
5800,36 months,11.47,191.18,B,5 years,RENT,190600,Verified,credit_card,14.85,0,699,44.1,Fully Paid
7700,60 months,12.61,173.67,C,10+ years,RENT,34400,Verified,other,20.29,0,703,38.9,Charged Off
14200,36 months,11.11,465.63,B,3 years,MORTGAGE,67100,Not Verified,credit_card,11.82,0,713,59.3,Charged Off
40000,36 months,22.94,1547.14,E,6 years,RENT,60900,Not Verified,debt_consolidation,8.12,1,674,45.4,Charged Off
5800,36 months,12.51,194.06,B,10+ years,MORTGAGE,28200,Not Verified,home_improvement,26.2,0,703,57.9,Charged Off
3800,36 months,24.55,150.18,E,8 years,MORTGAGE,122900,Not Verified,debt_consolidation,13.75,0,670,25.3,Fully Paid
18400,60 months,14.92,436.96,C,7 years,RENT,157200,Not Verified,debt_consolidation,10.46,0,706,66.3,Fully Paid
7800,60 months,7.13,154.93,A,10+ years,MORTGAGE,31100,Verified,credit_card,18.45,0,745,11.8,Fully Paid
16000,36 months,19.75,592.58,E,10+ years,RENT,37900,Verified,debt_consolidation,12.23,0,672,60.1,Charged Off
5900,36 months,14.28,202.45,C,10+ years,OWN,94900,Not Verified,debt_consolidation,5.7,0,694,15.8,Fully Paid
7600,36 months,16.09,267.53,C,1 year,RENT,71600,Not Verified,debt_consolidation,16.97,0,689,50.6,Charged Off
21500,60 months,15.72,519.64,D,5 years,MORTGAGE,83000,Verified,debt_consolidation,7.65,0,680,63.6,Charged Off
14000,36 months,22.12,535.54,F,10+ years,MORTGAGE,50700,Verified,debt_consolidation,15.89,1,651,64.8,Charged Off
27800,36 months,12.6,931.34,C,9 years,MORTGAGE,12000,Source Verified,debt_consolidation,23.05,0,711,40.6,Charged Off
18900,36 months,18.5,688.03,D,5 years,RENT,36500,Not Verified,debt_consolidation,17.17,0,687,44.3,Charged Off
10900,36 months,14.0,372.54,C,10+ years,MORTGAGE,90700,Not Verified,major_purchase,14.18,0,705,35.9,Fully Paid
7900,60 months,10.58,170.12,B,10+ years,RENT,59500,Not Verified,debt_consolidation,9.77,0,733,62.4,Charged Off
34000,60 months,9.17,708.59,B,5 years,MORTGAGE,66300,Source Verified,credit_card,16.23,0,740,61.1,Charged Off
19000,60 months,11.7,419.77,B,7 years,MORTGAGE,142200,Not Verified,debt_consolidation,31.22,2,714,33.1,Charged Off
17600,36 months,16.88,626.44,D,10+ years,RENT,172300,Source Verified,debt_consolidation,18.38,0,673,63.4,Fully Paid
6100,36 months,12.15,203.04,B,10+ years,RENT,70000,Source Verified,debt_consolidation,18.08,0,735,57.3,Fully Paid
20700,60 months,6.74,407.35,A,10+ years,MORTGAGE,29300,Verified,home_improvement,25.4,0,738,44.1,Charged Off
6000,60 months,5.94,115.83,A,,MORTGAGE,46800,Source Verified,major_purchase,41.21,0,754,52.3,Charged Off
12600,36 months,18.42,458.18,D,10+ years,RENT,171700,Source Verified,credit_card,11.5,0,674,65.2,Fully Paid
12800,60 months,6.84,252.49,A,4 years,OWN,101300,Not Verified,debt_consolidation,29.67,1,732,31.1,Charged Off
13200,36 months,15.35,459.85,D,4 years,RENT,67700,Verified,major_purchase,37.52,0,679,67.1,Charged Off
11100,60 months,10.56,238.91,B,5 years,MORTGAGE,27400,Verified,debt_consolidation,7.52,1,723,31.4,Charged Off
17300,36 months,15.9,607.36,D,6 years,RENT,105500,Source Verified,debt_consolidation,16.58,1,703,23.0,Fully Paid
8400,36 months,8.74,266.1,B,3 years,MORTGAGE,197100,Source Verified,debt_consolidation,17.06,1,717,48.1,Fully Paid
22400,36 months,21.71,852.11,E,7 years,MORTGAGE,90100,Not Verified,debt_consolidation,13.75,0,673,36.1,Charged Off
6600,36 months,10.93,215.86,B,1 year,MORTGAGE,90000,Verified,debt_consolidation,9.93,1,728,24.6,Fully Paid
12800,60 months,11.92,284.21,B,10+ years,RENT,99300,Not Verified,debt_consolidation,12.29,1,713,75.9,Fully Paid
9200,60 months,12.78,208.29,D,7 years,OWN,37400,Verified,debt_consolidation,25.73,0,698,39.7,Fully Paid
15800,60 months,21.25,429.67,E,1 year,RENT,72100,Not Verified,debt_consolidation,6.91,0,665,12.9,Charged Off
9200,36 months,16.13,324.04,D,2 years,OWN,69600,Source Verified,debt_consolidation,17.76,1,682,81.7,Charged Off
7300,60 months,10.0,155.1,B,2 years,RENT,52200,Not Verified,debt_consolidation,14.06,0,727,89.1,Charged Off
11000,36 months,10.93,359.76,B,10+ years,MORTGAGE,71500,Verified,credit_card,24.67,2,693,13.3,Fully Paid
25200,36 months,7.28,781.33,A,10+ years,MORTGAGE,49500,Verified,debt_consolidation,18.05,0,733,48.9,Fully Paid
40000,60 months,7.2,795.83,A,10+ years,MORTGAGE,35500,Verified,debt_consolidation,21.16,0,741,78.3,Fully Paid
7400,60 months,17.65,186.51,D,,MORTGAGE,68500,Not Verified,credit_card,12.53,0,685,57.3,Charged Off
9200,36 months,12.58,308.13,C,10+ years,MORTGAGE,77900,Not Verified,other,23.0,0,702,71.1,Charged Off
9800,60 months,15.7,236.76,D,10+ years,RENT,102200,Not Verified,debt_consolidation,20.08,1,673,38.6,Fully Paid
4900,36 months,19.54,180.96,D,1 year,OTHER,38800,Verified,debt_consolidation,25.35,0,667,47.3,Charged Off
17100,60 months,10.58,368.22,B,5 years,OWN,120700,Not Verified,debt_consolidation,9.67,0,716,16.1,Fully Paid
19000,36 months,7.35,589.71,A,5 years,RENT,51000,Source Verified,debt_consolidation,26.12,0,749,69.3,Fully Paid
9900,36 months,10.63,322.38,B,,OWN,54800,Not Verified,debt_consolidation,16.27,2,705,78.9,Charged Off
7900,36 months,17.01,281.7,D,< 1 year,RENT,71200,Not Verified,debt_consolidation,10.48,0,665,55.6,Fully Paid
17800,36 months,6.61,546.44,A,10+ years,RENT,72100,Source Verified,home_improvement,13.86,0,747,29.0,Fully Paid
6800,36 months,12.29,226.8,B,8 years,RENT,67000,Verified,credit_card,23.28,0,698,27.9,Fully Paid
14900,36 months,5.86,452.34,A,,OWN,90000,Verified,credit_card,11.42,1,724,66.5,Fully Paid
14400,36 months,16.16,507.4,D,1 year,MORTGAGE,30500,Not Verified,credit_card,22.5,0,701,31.3,Charged Off
18400,36 months,6.97,567.89,A,< 1 year,RENT,77100,Verified,credit_card,9.59,0,753,22.0,Fully Paid
15000,36 months,7.19,464.46,A,4 years,RENT,76600,Source Verified,debt_consolidation,20.71,0,738,6.2,Fully Paid
22500,60 months,12.89,510.68,C,10+ years,RENT,88500,Source Verified,small_business,14.51,1,703,15.0,Charged Off
10500,36 months,13.97,358.71,D,10+ years,MORTGAGE,25800,Source Verified,small_business,6.93,0,684,53.3,Charged Off
9600,36 months,11.62,317.12,C,8 years,OWN,16400,Not Verified,debt_consolidation,18.63,0,702,37.6,Fully Paid
4400,36 months,16.34,155.43,C,10+ years,MORTGAGE,67700,Not Verified,credit_card,22.27,0,696,62.9,Charged Off
10500,60 months,12.25,234.9,C,10+ years,OWN,143000,Source Verified,major_purchase,20.26,2,695,67.6,Charged Off
17500,36 months,11.62,578.08,C,1 year,RENT,40600,Source Verified,debt_consolidation,29.42,0,697,42.3,Fully Paid
15100,36 months,19.39,556.49,E,< 1 year,RENT,90700,Verified,debt_consolidation,12.17,1,676,39.5,Fully Paid
16700,36 months,11.66,551.97,B,10+ years,RENT,41100,Not Verified,credit_card,24.88,0,718,25.7,Fully Paid
11400,36 months,15.55,398.26,D,2 years,MORTGAGE,35100,Not Verified,credit_card,23.06,1,682,56.2,Fully Paid
5300,36 months,7.99,166.06,A,5 years,RENT,35200,Not Verified,credit_card,20.94,2,740,64.6,Charged Off
13000,36 months,10.83,424.56,B,,MORTGAGE,69000,Source Verified,debt_consolidation,22.89,1,717,56.5,Fully Paid
38100,36 months,24.25,1499.78,F,8 years,MORTGAGE,174500,Source Verified,debt_consolidation,29.25,0,658,70.1,Charged Off
13600,36 months,15.81,476.86,D,< 1 year,MORTGAGE,143600,Verified,debt_consolidation,13.23,1,702,15.1,Fully Paid
7000,36 months,14.42,240.67,C,5 years,MORTGAGE,55200,Verified,debt_consolidation,7.02,1,692,62.4,Charged Off
6600,60 months,9.32,138.03,B,10+ years,RENT,37100,Verified,other,6.34,0,737,56.1,Fully Paid
10600,36 months,19.06,388.88,E,2 years,MORTGAGE,70600,Source Verified,debt_consolidation,23.35,0,680,43.2,Charged Off
9000,36 months,13.54,305.59,C,2 years,MORTGAGE,55100,Not Verified,credit_card,13.74,0,700,80.3,Fully Paid
11100,36 months,14.73,383.32,C,10+ years,MORTGAGE,171700,Source Verified,debt_consolidation,19.98,0,690,44.2,Fully Paid
8800,36 months,10.06,284.2,B,10+ years,MORTGAGE,16900,Verified,debt_consolidation,32.96,0,735,33.3,Fully Paid
9200,36 months,11.54,303.55,C,< 1 year,MORTGAGE,58300,Source Verified,debt_consolidation,21.89,0,681,40.1,Charged Off
26200,36 months,7.06,809.7,A,< 1 year,RENT,144900,Verified,credit_card,17.3,0,738,52.0,Fully Paid
31000,36 months,9.13,987.67,B,5 years,OWN,216900,Source Verified,home_improvement,10.97,0,712,82.5,Fully Paid
10900,36 months,19.79,403.92,E,8 years,RENT,31600,Verified,debt_consolidation,6.81,0,655,52.4,Charged Off
12600,36 months,6.71,387.38,A,10+ years,RENT,33800,Not Verified,debt_consolidation,10.13,0,729,50.1,Fully Paid
12100,36 months,27.79,499.13,F,4 years,RENT,113600,Verified,other,12.21,0,656,48.5,Fully Paid
7700,36 months,5.86,233.76,A,10+ years,MORTGAGE,81100,Source Verified,debt_consolidation,10.01,0,729,57.4,Fully Paid
8900,36 months,9.21,283.89,B,9 years,MORTGAGE,45600,Not Verified,debt_consolidation,14.59,0,718,22.3,Fully Paid
6000,36 months,13.64,204.02,C,10+ years,OWN,37600,Not Verified,medical,21.8,0,712,89.5,Charged Off
10700,60 months,10.59,230.46,B,< 1 year,RENT,65600,Verified,debt_consolidation,29.21,1,703,79.1,Charged Off
5200,36 months,12.28,173.41,C,10+ years,RENT,37700,Source Verified,credit_card,18.48,0,706,48.4,Fully Paid
9300,36 months,13.23,314.39,C,8 years,MORTGAGE,105300,Source Verified,debt_consolidation,20.88,1,702,41.5,Charged Off
6400,36 months,10.47,207.93,B,,OWN,55400,Verified,debt_consolidation,28.76,0,694,24.7,Fully Paid
16900,36 months,6.37,516.97,A,8 years,MORTGAGE,32500,Verified,debt_consolidation,29.52,1,754,51.6,Fully Paid
34200,36 months,16.66,1213.54,D,10+ years,MORTGAGE,187500,Source Verified,debt_consolidation,24.37,1,688,76.0,Charged Off
10600,36 months,9.19,338.02,B,5 years,MORTGAGE,14600,Not Verified,debt_consolidation,17.12,1,711,57.4,Fully Paid
32300,36 months,6.86,995.26,A,10+ years,MORTGAGE,32400,Source Verified,debt_consolidation,21.51,1,739,70.9,Fully Paid
10600,36 months,18.6,386.41,D,5 years,OWN,21600,Not Verified,debt_consolidation,29.12,0,672,85.4,Charged Off
6600,36 months,7.86,206.39,A,10+ years,RENT,27600,Verified,debt_consolidation,10.69,0,753,33.7,Fully Paid
14900,36 months,14.28,511.28,C,1 year,MORTGAGE,58400,Source Verified,home_improvement,8.08,0,715,43.1,Fully Paid
7300,36 months,11.85,241.94,B,4 years,MORTGAGE,104300,Verified,credit_card,21.21,1,717,68.8,Fully Paid
21100,36 months,12.64,707.29,C,2 years,RENT,41400,Not Verified,credit_card,11.23,0,726,61.3,Fully Paid
18900,36 months,11.07,619.39,B,7 years,MORTGAGE,67200,Verified,credit_card,44.15,1,703,65.6,Charged Off
5000,60 months,5.35,95.16,A,10+ years,MORTGAGE,31400,Not Verified,debt_consolidation,17.16,0,748,41.2,Fully Paid
5600,36 months,13.37,189.69,D,3 years,MORTGAGE,56200,Not Verified,debt_consolidation,20.2,1,686,16.3,Fully Paid
9800,36 months,17.47,351.69,D,< 1 year,RENT,112500,Verified,credit_card,19.11,1,685,31.1,Fully Paid
5900,36 months,14.08,201.88,D,3 years,RENT,106200,Verified,debt_consolidation,29.71,0,684,88.0,Charged Off
11600,36 months,6.0,352.89,A,1 year,MORTGAGE,38400,Not Verified,debt_consolidation,22.62,0,731,40.2,Fully Paid
10500,60 months,13.94,243.99,C,10+ years,OWN,68000,Verified,debt_consolidation,29.8,0,695,75.3,Charged Off
25500,36 months,15.36,888.47,D,5 years,MORTGAGE,112800,Verified,credit_card,17.76,0,705,57.7,Fully Paid
20900,36 months,17.39,749.2,E,,RENT,44600,Source Verified,debt_consolidation,25.2,1,664,56.1,Charged Off
5100,36 months,13.45,172.95,C,1 year,MORTGAGE,93100,Not Verified,credit_card,37.55,0,703,5.9,Charged Off
24500,60 months,8.55,503.25,B,10+ years,MORTGAGE,75400,Source Verified,debt_consolidation,14.27,0,722,17.1,Fully Paid
8300,60 months,9.57,174.6,C,2 years,RENT,90600,Not Verified,credit_card,21.12,0,697,47.5,Fully Paid
20700,60 months,12.82,469.08,C,10+ years,RENT,40400,Source Verified,credit_card,26.54,1,690,29.4,Charged Off
12900,36 months,9.15,411.12,B,4 years,OWN,76600,Not Verified,credit_card,12.52,1,710,64.4,Fully Paid
6300,36 months,23.63,245.94,F,10+ years,MORTGAGE,88500,Source Verified,medical,8.86,0,661,58.7,Charged Off
14600,36 months,13.84,497.86,C,7 years,MORTGAGE,58000,Not Verified,debt_consolidation,23.34,0,703,56.7,Fully Paid
24900,36 months,14.94,862.44,C,10+ years,MORTGAGE,42200,Not Verified,debt_consolidation,17.42,0,691,47.9,Charged Off
10800,60 months,12.32,241.99,C,< 1 year,MORTGAGE,52100,Not Verified,debt_consolidation,17.92,0,670,79.3,Charged Off
7200,36 months,10.96,235.58,B,1 year,MORTGAGE,19200,Source Verified,debt_consolidation,8.47,1,689,20.2,Fully Paid
6500,60 months,9.9,137.79,B,10+ years,RENT,54800,Verified,debt_consolidation,10.26,0,705,61.6,Fully Paid
6100,60 months,14.93,144.89,C,4 years,MORTGAGE,67200,Source Verified,debt_consolidation,20.94,0,686,56.7,Charged Off
27200,36 months,14.77,939.84,C,1 year,MORTGAGE,167500,Source Verified,debt_consolidation,9.28,0,715,56.2,Charged Off
14000,36 months,18.58,510.22,D,< 1 year,MORTGAGE,41500,Verified,debt_consolidation,17.3,0,678,23.7,Charged Off
4600,36 months,12.69,154.31,C,3 years,RENT,58500,Source Verified,major_purchase,25.53,0,709,80.9,Fully Paid
18000,36 months,13.14,607.71,C,10+ years,OWN,103600,Source Verified,debt_consolidation,34.22,0,702,63.3,Charged Off
8100,36 months,13.62,275.35,C,1 year,RENT,52700,Verified,debt_consolidation,16.96,0,686,11.5,Fully Paid
10400,60 months,15.57,250.54,D,2 years,RENT,61700,Not Verified,debt_consolidation,11.0,0,673,,Charged Off
14300,36 months,13.94,488.32,C,10+ years,OTHER,102200,Verified,debt_consolidation,10.57,0,706,25.5,Fully Paid
23100,36 months,11.44,761.09,B,,OWN,38500,Source Verified,credit_card,8.52,0,752,66.6,Fully Paid
13600,36 months,18.05,492.01,D,10+ years,MORTGAGE,54100,Source Verified,debt_consolidation,13.99,0,690,46.9,Charged Off
10300,60 months,7.33,205.56,A,4 years,RENT,24300,Not Verified,home_improvement,14.8,1,728,21.9,Fully Paid
10000,60 months,10.95,217.17,B,10+ years,RENT,158600,Source Verified,debt_consolidation,9.65,0,744,53.7,Fully Paid
12300,60 months,7.78,248.11,A,1 year,RENT,85500,Verified,debt_consolidation,25.95,0,746,60.5,Fully Paid
17300,36 months,18.06,625.96,D,10+ years,OWN,45300,Not Verified,major_purchase,6.94,1,689,25.6,Fully Paid
15300,36 months,18.81,559.37,E,3 years,MORTGAGE,53500,Verified,debt_consolidation,11.21,0,654,34.4,Charged Off
14000,36 months,10.21,453.12,B,10+ years,MORTGAGE,60100,Not Verified,debt_consolidation,17.59,0,700,52.7,Fully Paid
6700,36 months,11.01,219.38,B,10+ years,MORTGAGE,220800,Not Verified,debt_consolidation,16.59,1,716,45.4,Charged Off
6900,36 months,13.85,235.32,C,3 years,RENT,98500,Source Verified,debt_consolidation,15.42,1,707,47.2,Fully Paid
22400,36 months,20.94,843.23,E,1 year,RENT,28800,Source Verified,debt_consolidation,16.12,1,688,43.5,Fully Paid
9700,36 months,20.56,363.26,E,10+ years,MORTGAGE,117400,Verified,debt_consolidation,20.23,0,650,12.9,Fully Paid
7800,36 months,14.19,267.31,C,7 years,MORTGAGE,77500,Verified,debt_consolidation,24.8,1,700,42.6,Charged Off
4400,36 months,10.22,142.43,B,10+ years,RENT,62000,Not Verified,debt_consolidation,13.61,0,719,9.6,Fully Paid
11700,60 months,16.99,290.71,D,2 years,RENT,106600,Not Verified,credit_card,6.54,0,687,65.7,Charged Off
7800,60 months,7.46,156.15,A,4 years,RENT,29500,Source Verified,debt_consolidation,9.69,1,754,43.9,Fully Paid
9800,36 months,20.07,364.55,D,5 years,MORTGAGE,59100,Source Verified,debt_consolidation,11.7,1,695,82.0,Charged Off
9100,36 months,10.55,295.99,B,7 years,MORTGAGE,54300,Verified,debt_consolidation,20.87,0,715,8.9,Fully Paid
22600,36 months,17.3,809.13,D,< 1 year,RENT,69300,Verified,other,27.25,0,702,57.1,Fully Paid
9900,36 months,14.27,339.66,C,10+ years,MORTGAGE,142100,Source Verified,debt_consolidation,11.84,0,690,16.3,Fully Paid
37700,60 months,9.68,795.09,B,10+ years,RENT,72200,Verified,small_business,22.27,0,748,42.0,Fully Paid
5100,36 months,14.08,174.5,C,3 years,MORTGAGE,115800,Verified,credit_card,9.95,0,704,25.5,Fully Paid
36500,36 months,11.99,1212.15,C,10+ years,MORTGAGE,43200,Source Verified,home_improvement,33.89,0,692,30.3,Fully Paid
16100,60 months,18.03,409.1,D,10+ years,RENT,143100,Not Verified,debt_consolidation,28.22,0,677,90.7,Charged Off
16600,36 months,7.62,517.28,A,9 years,RENT,127900,Verified,medical,27.7,0,739,29.2,Charged Off
